Rank,Year,Title,Artist,Lyrics,Lyric_Neg,Lyric_Neu,Lyric_Pos,Lyric_Compound
27,2019-01-01,Someone You Loved,Lewis Capaldi,"I'm going under, and this time, I fear there's no one to save me
This all or nothing really got a way of driving me crazy
I need somebody to hear,  somebody to know
Somebody to have, somebody to hold
It's easy to say, but it's never the same
I guess I kinda liked the way you numbed all the pain

Now, the day bleeds into nightfall
And you're not here to get me through it all
I let my guard down and then you pulled the rug
I was getting kinda used to being someone you loved

I'm going under, and this time, I fear there's no one to turn to
This all or nothing way of loving got me sleeping without you
Now, I need somebody to know, somebody to hear
Somebody to have, just to know how it feels
It's easy to say, but it's never the same
I guess I kinda like the way you help me escape

Now, the day bleeds into nightfall
And you're not here to get me through it all
I let my guard down and then you pulled the rug
I was getting kinda used to being someone you loved

And I tend to close my eyes when it hurts sometimes
I fall into your arms
I'll be safe in your sound till I come back around

For now, the day bleeds into nightfall
And you're not here to get me through it all
I let my guard down and then you pulled the rug
I was getting kinda used to being someone you loved
But now the day bleeds into nightfall
And you're not here to get me through it all
I let my guard down and then you pulled the rug
I was getting kinda used to being someone you loved
I let my guard down and then you pulled the rug
I was getting kinda used to being someone you loved",0.078,0.782,0.141,0.9788
28,2019-01-01,Ran$om,Lil Tecca,"Turn you to a dancer
Yeah
Internet Money, bitch

I got black, I got white, what you want?
Hop outside a Ghost and hop up in a Phantom
I know I'm ’bout to blow, I ain't dumb
They try to take my flow, I take they ass for ransom
I know that I'm gone
They see me blowin’ up, now they say they want some
I got two twin Glocks, turn you to a dancer
I see two twin opps, leave 'em on a banner
And I got two thick thots, wanna link the gang, yeah

I got red, I got blue, what you want?
The Chanel or Balenciaga, Louis and Vuitton
She know I got the Fendi, Prada when I hit Milan
I needed me a die or rider, I need me the one
I started from the bottom, you could see the way I stunt
I want all the diamonds, I want that shit to weigh a ton
The opps, they tryna line me 'cause they hate the place I'm from
But them niggas don't know me, they just know the place I'm from
I got lots of shawties tryna pull up to my place
But you ain't want me last year, so just get up out my face
They all up in my inbox, so I know they want a taste
I know they want my downfall, lil' nigga, are you laced?

I got black, I got white, what you want?
Hop outside a Ghost and hop up in a Phantom
I know I’m ’bout to blow, I ain't dumb
They try to take my flow, I take they ass for ransom
I know that I’m gone
They see me blowin' up, now they say they want  some
I got two twin Glocks, turn you to a dancer
I see two twin opps, leave 'em on a banner
And I got two thick thots, wanna link the gang, yeah
I got black, I got white, what you want?
Hop outside a Ghost and hop up in a Phantom
I know I'm ’bout to blow, I ain't dumb
They try to take my flow, I take they ass for ransom
I know that I'm gone
They see me blowin' up, now they say they want  some
I got two twin Glocks, turn you to a dancer
I see two twin opps, leave 'em on a banner
And I got two thick thots, wanna link the gang, yeah",0.094,0.82,0.086,-0.898
29,2019-01-01,If I Can't Have You,Shawn Mendes,,,,,
30,2019-01-01,Goodbyes,Post MaloneFeaturingYoung Thug,,,,,
31,2019-01-01,ZEZE,Kodak BlackFeaturingTravis Scott&Offset,,,,,
32,2019-01-01,Better Now,Post Malone,"You probably think that you are better now, better now
You only say that 'cause I'm not around, not around
You know I never meant to let you down, let you down
Woulda gave you anything, woulda gave you everything
You know I say that I am better now, better now
I only say that 'cause you're not around, not around
You know I never meant to let you down, let you down
Woulda gave you anything, woulda gave you everything
Oh woah

I did not believe that it would end, no
Everything came second to the Benzo
You're not even speakin' to my friends, no
You knew all my uncles and my aunts though
Twenty candles, blow 'em out and open your eyes
We were lookin' forward to the rest of our lives
Used to keep my picture posted by your bedside
Now it's in your dresser with the socks you don't like
And I'm rollin', rollin', rollin', rollin'
With my brothers like it's Jonas, Jonas
Drinkin' Henny and I'm tryna forget
But I can't get this shit outta my head

You probably think that you are better now, better now
You only say that 'cause I'm not around, not around
You know I never meant to let you down, let you down
Woulda gave you anything, woulda gave you everything
You know I say that I am better now, better now
I only say that 'cause you're not around, not around
You know I never meant to let you down, let you down
Woulda gave you anything, woulda gave you everything
Oh woah

I seen you with your other dude
He seemed like he was pretty cool
I was so broken over you
Life, it goes on, what can you do?
I just wonder what it's gonna take (What's it gonna take?)
Another foreign or a bigger chain (Bigger chain)
Because no matter how my life has changed (No matter how my life has changed)
I keep on looking back on better days

You probably think that you are better now, better now
You only say that 'cause I'm not around, not around
You know I never meant to let you down, let you down
Woulda gave you anything, woulda gave you everything
You know I say that I am better now, better now
I only say that 'cause you're not around, not around
You know I never meant to let you down, let you down
Woulda gave you anything, woulda gave you everything
Oh woah

I promise
I swear to you, I'll be okay
You're only the love of my life (Love of my life)

You probably think that you are better now, better now
You only say that 'cause I'm not around, not around
You know I never meant to let you down, let you down
Woulda gave you anything, woulda gave you everything
You know I say that I am better now, better now
I only say that 'cause you're not around, not around
You know I never meant to let you down, let you down
Woulda gave you anything, woulda gave you everything
Oh woah",0.044,0.812,0.144,0.9956
33,2019-01-01,Youngblood,5 Seconds of Summer,"Remember the words you told me
""Love me 'til the day I die""?
Surrender my everything
'Cause you made me believe you're mine
Yeah, you used to call me ""baby""
Now, you're callin' me by name (Mm)
Takes one to know one, yeah
You beat me at my own damn game

You push and you push and I'm pullin' away
Pullin' away from ya
I give and I give and I give and you take
Give and you take

Youngblood
Say you want me, say you want me outta your life
And I'm just a dead man walkin' tonight
But you need it, yeah, you need it all of the time, yeah (Ooh)
Youngblood
Say you want me, say you want me back in your life
So I'm just a dead man crawlin' tonight
'Cause I need it, yeah, I need it all of the time, yeah (Ooh)

Lately, our conversations
End like it's the last goodbye
Then one of us gets too drunk
And calls about a hundred times
So 
who you been callin' ""baby""?
Nobody could take my place
When you're lookin' at those strangers
Hope to God you see my face
 (
Ooh
)

Youngblood
Say you want me, say you want me outta your life
And I'm just a dead man walkin' tonight
But you need it, yeah, you need it all of the time, yeah (Ooh)
Youngblood
Say you want me, say you want me back in your life
So I'm just a dead man crawlin' tonight
'Cause I need it, yeah, I need it all of the time, yeah (Ooh)

You push and you push and I'm pullin' away
Pullin' away from ya
I give and I give and I give and you take
Give and you take
You're runnin' around and I'm runnin' away
Runnin' away from ya, mm, from ya

Youngblood
Say you want me, say you want me outta your life
And I'm just a dead man walkin' tonight
But you need it, yeah, you need it all of the time, yeah (Ooh)
Youngblood
Say you want me, say you want me back in your life
So I'm just a dead man crawlin' tonight
'Cause I need it, yeah, I need it all of the time, yeah (Ooh)

You push and you push and I'm pullin' away
Pullin' away from ya
I give and I give and I give and you take
Give and you take
Youngblood
Say you want me, say you want me outta your life
And I'm just a dead man walkin' tonight",0.092,0.761,0.147,0.6007
34,2019-01-01,Money In The Grave,DrakeFeaturingRick Ross,,,,,
35,2019-01-01,Speechless,Dan + Shay,"You say you'll be down in five
The smell of your perfume is floating down the stairs
You're fixing up your hair like you do
I know that I'll be a mess
The second that I see you
You won't be surprised
It happens every time
It's nothin' new

It's always on a night like tonight
I thank God you can read my mind
'Cause when you look at me with those eyes

I'm speechless
Starin' at you standin' there in that dress
What it's doin' to me ain't a secret
'Cause watching you is all that I can do
And I'm speechless
You already know that you're my weakness
After all this time I'm just as nervous
Every time you walk into the room
I'm speechless

It started when you said hello
Just did something to me
And I've been in a daze
Ever since the day that we met
You take the breath out of my lungs
Can't even fight it
And all of the words, out of my mouth without even tryin'

And I'm speechless
Starin' at you standin' there in that dress
What it's doin' to me ain't a secret
'Cause watching you is all that I can do
And I'm speechless
You already know that you're my weakness
After all this time I'm just as nervous
Every time you walk into the room
I'm speechless

Yeah, baby, mmm
It's always on a night like tonight
I thank God you can read my mind
'Cause when you look at me with those eyes

I'm speechless
You standin' there in that dress
Girl, it ain't a secret
'Cause watchin' you is all that I can do
Oh, I'm speechless
You already know that you're my weakness
After all this time I'm just as nervous
Every time you walk into the room
I'm speechless

Oh, you know it, baby
Mmm",0.064,0.871,0.066,0.1326
36,2019-01-01,"Break Up With Your Girlfriend, I'm Bored",Ariana Grande,"You got me some type of way (Hm)
Ain't used to feelin' this way (Mm, mm)
I do not know what to say (Yeah, yeah)
But I know I shouldn't think about it
Took one fuckin' look at your face (Hm)
Now I wanna know how you taste (Mm, mm)
Usually don't give it away (Yeah, yeah)
But you know I'm already thinkin' 'bout it

Then I realize she's right there
And I'm at home like, ""Damn, this ain't fair""

Break up with your girlfriend (Girlfriend)
Yeah, yeah, 'cause I'm bored
You could hit it in the mornin' (Mornin')
Yeah, yeah, like it's yours
I know it ain't right, but I don't care (Care)
Break up with your girlfriend (Girlfriend)
Yeah, yeah, 'cause I'm bored

This shit always happen to me (Yeah)
Why can't we just play for keeps? (Mm, mm)
Practically on my knees (Yeah, yeah)
But I know I shouldn't think about it
You know what you're doin' to me
You're singin' my songs in the streets, yeah, yeah
Actin' all innocent, please
When I know you already thinkin' 'bout it

Then you realize she's right there (Yeah)
And you're at home like, ""Damn, she can't compare""

Break up with your girlfriend (Girlfriend)
Yeah, yeah, 'cause I'm bored
You could hit it in the mornin' (In the mornin')
Yeah, yeah, like it's yours
I know it ain't right, but I don't care (I don't care, yee)
Break up with your girlfriend (With your girlfriend)
Yeah, yeah, 'cause I'm bored

With your girlfriend, girlfriend, girlfriend, girlfriend
With your girlfriend
With your girlfriend, girlfriend, girlfriend, girlfriend

You could say I'm hatin' if you want to
But I only hate on her 'cause I want you
Say I'm trippin' if you feel like
But you without me ain't right (Ain't right)
You could call me crazy 'cause I want you
And I never even ever fuckin' met you
Say I'm trippin' and it ain't right
But you without me ain't nice (Ain't nice, yeah)

Break up with your girlfriend (With your girlfriend)
Yeah, yeah, 'cause I'm bored
You could hit it in the mornin' (Hit in the mornin', yeah, yeah, yeah)
Yeah, yeah, like it's yours
I know it ain't right, but I don't care (Care, yeah)
Break up with your girlfriend (With your girlfriend)
Yeah, yeah, 'cause I'm bored

With your girlfriend, girlfriend, girlfriend, baby, girlfriend
With your girlfriend
With your girlfriend, girlfriend, girlfriend, girlfriend
With your girlfriend",0.099,0.702,0.199,0.991
37,2019-01-01,Please Me,Cardi B&Bruno Mars,"Uh, uh, evet, haydi!

Beni memnun et, bebeğim
Etrafta dön ve sadece bana takıl, bebeğim
Ne istediğimi ve neye ihtiyacım olduğunu biliyorsun, bebeğim
(Söylediğin şeyi duymama izin ver)
Lütfen
(Söylediğin şeyi duymama izin ver)
Lütfen (woo)
Etrafta dön ve sadece bana takıl, bebeğim
Ne istediğimi ve neye ihtiyacım olduğunu biliyorsun, bebeğim
(Söylediğin şeyi duymama izin ver)
Lütfen
(Söylediğin şeyi duymama izin ver)
Lütfen (woo)

Lollipoppin' (Poppin'), bazı J'ler ile twerk yapıyorum (ooh)
Dans pistinde (uh-huh), külot yokken (nope)
Bununla vaktimi alıyorum (ow), seni yakınıma çekiyorum (ow)
Genç aptal istemiyorum
Jodeci dinliyormuşuz gibi beni daha iyi becer
Yatağa düşürmeye çalışıyordum (düşük), yavaş konuşuyorum (yavaş)
Tekrardan sikiliyorken (ayy)
Kutlama yapmalısın, iyi görünüyorsun adamım?
Onun hakkından gelsen iyi olur
Örgüyü çözemiyorsan, dışarda olmamalısın
Amcık gibi: akşam yemeği rezervasyonları, yemelisin

Binmek içi gidiyorum, sadece nasıl seviyorsan öyle yapıyorum
Bu gece ve sonrası
Hadi bir kez daha yapalım
Kızım yalvaran birisi değilim, ama beni şimdi yalvartıyorsun

Beni memnun et, bebeğim
Etrafta dön ve sadece bana takıl, bebeğim
Ne istediğimi ve neye ihtiyacım olduğunu biliyorsun, bebeğim
(Söylediğin şeyi duymama izin ver)
Lütfen
(Söylediğin şeyi duymama izin ver)
Lütfen (woo)
Etrafta dön ve sadece bana takıl, bebeğim
Ne istediğimi ve neye ihtiyacım olduğunu biliyorsun, bebeğim
(Söylediğin şeyi duymama izin ver)
Lütfen
(Söylediğin şeyi duymama izin ver)
Lütfen (woo)

Kalça çok yuvarlak (yuvarlak), kalça çok yumuşak (yumuşak)
Bahse girelim, onu yeniden tokatlamak istiyorsun (ayy)
Gösteri yapmama izin ver
Bir kez vur, havaya kaldır
Sarkık memeler kendinden geçiyor gibi (geçiyor)
Yıkık orospular şimdi izliyorlar (izliyorlar)
Senin vajinan çöp (çöp)
Benim vajinam meşrubat (meşrubat)

Binmek içi gidiyorum, sadece nasıl seviyorsan öyle yapıyorum
Bu gece ve sonrası
Hadi bir kez daha yapalım
Kızım yalvaran birisi değilim, ama beni şimdi yalvartıyorsun

Beni memnun et, bebeğim
Etrafta dön ve sadece bana takıl, bebeğim
Ne istediğimi ve neye ihtiyacım olduğunu biliyorsun, bebeğim
(Söylediğin şeyi duymama izin ver)
Lütfen
(Söylediğin şeyi duymama izin ver)
Lütfen (woo)

Hadi
Benim için onu geriye doğru sür
Hadi
Üzerimde yavaşça salla onu
Hadi
Kızım sana bu aşkı koymama izin ver
Bu boktan daha iyisini söylüyorsun
Cardi bu bokla oynamıyor
Bu kayıtları aldığımda, arkanı kolla

Beni memnun et, bebeğim
Etrafta dön ve sadece bana takıl, bebeğim
Ne istediğimi ve neye ihtiyacım olduğunu biliyorsun, bebeğim
(Söylediğin şeyi duymama izin ver)
Lütfen
(Söylediğin şeyi duymama izin ver)
Lütfen (woo)
Etrafta dön ve sadece bana takıl, bebeğim
Ne istediğimi ve neye ihtiyacım olduğunu biliyorsun, bebeğim
(Söylediğin şeyi duymama izin ver)
Lütfen
(Söylediğin şeyi duymama izin ver)
Lütfen (woo)",0.0,1.0,0.0,0.0
38,2019-01-01,Money,Cardi B,"Look, my bitches all bad, my niggas all real
I ride on his dick in some big tall heels
Big fat checks, big large bills
Front, I'll flip like ten cartwheels
Cold ass bitch, I give broads chills
Ten different looks and my looks all kill
I kiss him in the mouth, I feel all grills
He eat in the car, that's meals on wheels (Woo)

I was born to flex (Yes)
Diamonds on my neck
I like boardin' jets, I like mornin' sex (Woo)
But nothing in this world that I like more than checks (Money)
All I really wanna see is the (Money)
I don't really need the D, I need the (Money)
All a bad bitch need is the (Money flow)
I got bands in the coupe (Coupe)
Bustin' out the roof
I got bands in the coupe (Coupe)
Touch me, I'll shoot (Bow)
Shake a lil ass (Money)
Get a little bag and take it to the store (Store, money)
Get a little cash (Money)
Shake it real fast and get a little more (Money)
I got bands in the coupe (Coupe)
Bustin' out the roof
I got bands in the coupe (Brrr)
Bustin' out the roof (Cardi)

I gotta fly, I need a jet, shit
I need room for my legs
I got a baby, I need some money, yeah
I need cheese for my egg
All y'all bitches in trouble
Bring brass knuckles to the scuffle
I heard that Cardi went pop
Yeah, I did go pop (Pop)
That's me bustin' they bubble
I'm Dasani with the drip
Baby mommy with the clip
Walk out Follie's with a bitch
Bring a thottie to the whip
If she fine or she thick, goddamn
Walkin' past the mirror, ooh
Damn, I'm fine (Fine)
Let a bitch try me, boom (Boom)
Hammer time, uh

I was born to flex (Yes)
Diamonds on my neck
I like boardin' jets, I like mornin' sex (Woo)
But nothing in this world that I like more than checks (Money)
All I really wanna see is the (Money)
I don't really need the D, I need the (Money)
All a bad bitch need is the (Money flow)
I got bands in the coupe (Coupe)
Bustin' out the roof
I got bands in the coupe (Coupe)
Touch me, I'll shoot (Bow)
Shake a lil ass (Money)
Get a little bag and take it to the store (Store, money)
Get a little cash (Money)
Shake it real fast and get a little more (Money)
I got bands in the coupe (Coupe)
Bustin' out the roof
I got bands in the coupe (Brrr)
Touch me, I'll shoot (Bow)

Bitch, I will pop on your pops (Your pops)
Bitch, I will pop on whoever (Brrr)
You know who pop the most shit? (Who?)
The people whose shit not together (Okay)
You'da bet Cardi a freak (Freak)
All my pajamas is leather (Uh)
Bitch, I will black on your ass (Yeah)
Wakanda forever
Sweet like a honey bun, spit like a Tommy gun
Rollie a one of one, come get your mommy some
Cardi at the tip-top, bitch
Kiss the ring and kick rocks, sis (Mwah)
Jump it down, back it up (Ooh, ayy)
Make that nigga put down 2K
I like my niggas dark like D'USSÉ
He gonna eat this ass like soufflé

I was born to flex, diamonds on my neck
I like boardin' jets, I like mornin' sex
But nothing in this world that I like more than Kulture
(Kulture, Kulture, Kulture)
All I really wanna see is the (Money)
I don't really need the D, I need the (Money)
All a bad bitch need is the
K.K.C (Woo)

(Money)
Money
(Money)
(Money)
(Money)
(Money)
(Money)
(Money)",0.217,0.694,0.089,-0.9986
39,2019-01-01,You Need To Calm Down,Taylor Swift,"You are somebody that I don't know
But you're takin' shots at me like it's Patrón
And I'm just like, damn, it's 7 a.m. 
Say it in the street, that's a knock-out
But you say it in a Tweet, that's a cop-out
And I'm just like, ""Hey, are you okay?""

And I ain't tryna mess with your self-expression
But I've learned a lesson that stressin' and obsessin' 'bout somebody else is no fun
And snakes and stones never broke my bones

So oh-oh, oh-oh, oh-oh, oh-oh, oh-oh
You need to calm down, you're being too loud
And I'm just like oh-oh, oh-oh, oh-oh, oh-oh, oh-oh (Oh)
You need to just stop, like can you just not step on my gown?
You need to calm down

You are somebody that we don't know
But you're comin' at my friends like a missile
Why are you mad when you could be GLAAD? (You could be GLAAD)
Sunshine on the street at the parade
But you would rather be in the dark ages
Makin' that sign must've taken all night

You just need to take several seats and then try to restore the peace
And control your urges to scream about all the people you hate
'Cause shade never made anybody less gay

So oh-oh, oh-oh, oh-oh, oh-oh, oh-oh
You need to calm down, you're being too loud
And I'm just like oh-oh, oh-oh, oh-oh, oh-oh, oh-oh (Oh)
You need to just stop, like can you just not step on his gown?
You need to calm down

And we see you over there on the internet
Comparing all the girls who are killing it
But we figured you out
We all know now we all got crowns
You need to calm down

Oh-oh, oh-oh, oh-oh, oh-oh, oh-oh
You need to calm down (You need to calm down)
You're being too loud (You're being too loud)
And I'm just like oh-oh, oh-oh, oh-oh, oh-oh, oh-oh (Oh)
You need to just stop (Can you stop?)
Like can you just not step on our gowns?
You need to calm down",0.081,0.721,0.199,0.9934
40,2019-01-01,Panini,Lil Nas X,"D-D-Daytrip took it to ten (
Hey
)

Ayy, Panini, don't you be a meanie
Thought you wanted me to go up
Why you tryna keep me teeny? I
It's a dream, he wished it on a genie
I got fans finally, ain't you wanting them to see me? I

I thought you want this for my life, for my life
Said you wanted to see me thrive, you lied

Just say to me what you want from me
Just say to me what you want from me

Ayy, Panini, don't you be a meanie
Thought you wanted me to go up
Why you tryna keep me teeny now?
Now they need me, number one on streaming
Oh yeah, you used to love me
So what happened, what's the meaning? I

I thought you want this for my life, for my life
Said you wanted to see me thrive, you lied

Now when it's all done, I get the upper hand
I need a big Benz, not another fan
But I still want you as a fan
I'ma need to sit down, don't mean to make demands
But I need you to...

Say to me what you want from me
Just say to me what you want from me

D-D-Daytrip took it to ten (
Hey
)",0.036,0.873,0.091,0.6526
41,2019-01-01,Look Back At It,A Boogie wit da Hoodie,"Look back at it
She ain't never do this before, but she good at it
Said she never made love, but she good at it (She good at it)
She make a nigga feel good when I look at it (Yeah)
I get goosebumps when I look at it (Look at it)
Oh, girls just wanna have fun with it (Fun with it)
All the girls just wanna have fun with me (Fun with me)
These girls ain't really no good for me, yeah

Drrrat, da-da, da
Drrrat, da-da-da, da
Drrrat, da-da-um-da
Drrrat, da-da-da-um-da
Yeah, got a new Benz that I ain't promotin', yeah
All of my friends love money throwin'
Drrrat, da-da-da-um-da

Let me tell you something 'bout my life
And every single chain, and my diamond rings
The way you walkin', the way you talkin', it's all because of me
And the way I'm all on you, girl, you know it's true
The way I speak, it's my melody
Don't you ever think it's another me
Girl, on everything, it's a lot on me
I cannot be seen, I cannot be takin' apologies
Yeah, they plot on me, 'cause that bag on me
Yeah, they after me, I got racks on me
Got the stash on me, think they gassin' me
Yeah, hoodie on low but I stay focused
Yeah, it's hard to stay low when everybody notice, yeah

Look back at it
She ain't never do this before, but she good at it
Said she never made love, but she good at it
She make a nigga feel good when I look at it
I get goosebumps when I look at it
Oh, girls just wanna have fun with it
All the girls just wanna have fun with me
These girls ain't really no good for me, yeah

Drrrat, da-da, da
Drrrat, da-da-da, da
Drrrat, da-da-um-da
Drrrat, da-da-da-um-da
Yeah, got a new Benz that I ain't promotin', yeah
All of my friends love money throwin'
Drrrat, da-da-da-um-da
Drrrat, da-da-um-da

Can I come by and vibe? (Can I?)
I get a different type of fly (Fly)
Hit a lick and split it with my guys (My guys)
Gettin' rich I'm really lit, but I (I)
Ain't shit, I admit it but I try (I try)
If I'm wrong, just tell me that I'm right
Let me tell you somethin' 'bout my life (My life)

Look back at it
Said she never made love, but she good at it (Good at it)
I get goosebumps when I look at it (When I look at it)
All the girls just wanna have fun with me
These girls...",0.068,0.694,0.238,0.9982
42,2019-01-01,A Lot,21 Savage,"I love you
Turn my headphone down a little bit, yeah
For so many reasons
Yeah, yeah, yeah, yeah, yeah, yeah (I do), yeah, yeah yeah yeah
Yeah, yeah, ah, ah, woah, woah, woah, yeah

How much money you got? (Straight up)
How much money you got? (Straight up)
How much money you got? (Straight up)
How much money you got? (A lot)

How much money you got? (A lot)
How many problems you got? (A lot)
How many people done doubted you? (A lot)
Left you out to rot? (A lot)
How many pray that you flop? (A lot)
How many lawyers you got? (A lot)
How many times you got shot? (A lot)
How many niggas you shot? (A lot)
How many times did you ride? (A lot)
How many niggas done died? (A lot)
How many times did you cheat? (A lot)
How many times did you lie? (A lot)
How many times did she leave? (A lot)
How many times did she cry? (A lot)
How many chances she done gave you fuckin around with these thots? (A lot)

Every day that I'm alive, I’ma ride with the stick
I'd rather be broke in jail than be dead and rich
Told my brothers take my breath if I turn to a snitch
But I'm 21 4L, ain’t no way I'ma switch

Break it down, I break it down
I break it down, I break it down
I break it down, I break it down
I break it down, I break it down

Penitentiary chances just to make a couple bucks
My heart so cold I could put it in my cup
Gang vs. the world, me and my dawg, it was us
Then you went and wrote a statement, and that really fucked me up
My brother lost his life and it turned me to a beast
My brother got life and it turned me to the streets
I been through the storm and it turned me to a G
But the other side was sunny, I get paid to rap on beats

How much money you got? (A lot)
How many problems you got? (A lot)
How many people done doubted you? (A lot)
Left you out to rot? (A lot)
How many pray that you flop? (A lot)
How many lawyers you got? (A lot)
How many times you got shot? (A lot)
How many niggas you shot? (A lot)
How many times did you ride? (A lot)
How many niggas done died? (A lot)
How many times did you cheat? (A lot)
How many times did you lie? (A lot)
How many times did she leave? (A lot)
How many times did she cry? (A lot)
How many chances she done gave you?
Fuck around with these thots (A lot)

Break it on down, I break it on down
I break it on down, I break it on down
Yeah, I just came from the A
I drove back home, six-hour drive, six-and-a-half
Before I left, I stopped by to see my nigga 21 in the studio
He had two of his kids with him right in the studio, that's when I knew
You a stand-up nigga, I love seein' shit like that

Question
How many faking they streams? (A lot)
Getting they plays from machines? (A lot)
I can see behind the smoke and mirrors
Niggas ain't really big as they seem (Hmm)
I never say anything (Nah), everybody got they thing (True)
Some niggas make millions, other niggas make memes (Hmm)
I'm on a money routine
I don't want smoke, I want cream
I don't want no more comparisons
This is a marathon and I’m aware
I been playing it back from a lack of promotions
I never was one for the bragging and boasting
I guess I was hoping the music would speak for itself, but the people want everything else
Okay, no problem, I’ll show up on everyone album
You know what the outcome will be
I'm batting a thousand
It’s got to the point that these rappers don't even like rappin' with me
Fuck it 'cause my nigga 21 Savage just hit me
And told me he saved me a spot on a new record he got
He call it ""a lot,"" I open my book and I jot
Pray for Tekashi, they want him to rot
I picture him inside a cell on a cot
’Flectin' on how he made it to the top
Wondering if it was worth it or not
I pray for Markelle 'cause they fucked up his shot
Just want you to know that you got it, my nigga
Though I never met you, I know that you special
And that the Lord blessed you, don't doubt it, my nigga
Dennis Smith, Jr., stay solid, my nigga
I'm on a tangent, not how I planned it
I had some fans that hopped and abandoned ship
When they thought that I wasn't gon' pan out, I got a plan
They say that success is the greatest revenge, tell all your friends
Cole on a mission, cementin' the spot as the greatest that did it
Before it all ends, nigga

How much money you got? (A lot)
How many problems you got? (A lot)
How many people done doubted you? (A lot)
Left you out to rot? (A lot)
How many pray that you flop? (A lot)
How many lawyers you got? (A lot)
How many times you got shot? (A lot)
How many niggas you shot? (A lot)
How many times did you ride? (A lot)
How many niggas done died? (A lot)
How many times did you cheat? (A lot)
How many times did you lie? (A lot)
How many times did she leave? (A lot)
How many times did she cry? (A lot)
How many chances she done gave you?
Fuck around with these thots (A lot)

Break it on down, I break it on down
I break it on down, I break it on down
I break it down, I break it down
I break it down, I break it down
I break it on down, I break it down
I break it down, I break it down
I break it down, I break it down
I break it down, I break it down, I br-",0.143,0.752,0.104,-0.9944
43,2019-01-01,ME!,Taylor SwiftFeaturingBrendon Urie,,,,,
44,2019-01-01,MIA,Bad BunnyFeaturingDrake,,,,,
45,2019-01-01,Pop Out,Polo GFeaturingLil Tjay,,,,,
46,2019-01-01,Beautiful Crazy,Luke Combs,"Her day starts with a coffee and ends with a wine
Takes forever getting ready so she's never on time for anything
When she gets that ""come get me"" look in her eyes
Well, it kinda scares me, the way that she drives me wild
When she drives me wild

Beautiful, crazy, she can't help but amaze me
The way that she dances, ain't afraid to take chances
And wears her heart on her sleeve
Yeah, she's crazy but her crazy's beautiful to me

She makes plans for the weekend, can't wait to go out
Till she changes her mind
Says, ""Let's stay on the couch and watch TV""
And she falls asleep

Beautiful, crazy, she can't help but amaze me
The way that she dances, ain't afraid to take chances
And wears her heart on her sleeve
Yeah, she's crazy but her crazy's beautiful to me

She's unpredictable, unforgettable
It's unusual, unbelievable
How I'm such a fool, yeah, I'm such a fool for her

Beautiful, crazy, she can't help but amaze me
The way that she dances, ain't afraid to take chances
And wears her heart on her sleeve
Yeah, she's crazy, she's crazy, she's crazy
But her crazy's beautiful to me
Her crazy's beautiful to me",0.184,0.609,0.207,0.858
47,2019-01-01,Thotiana,Blueface,"Blueface, baby
Yeah aight
Bust down, Thotiana
Yeah aight
I wanna see you bust down

Bust down, Thotiana (Bust down, Thotiana)
I wanna see you bust down (Over)
Pick it up, now break that shit down (Break it down)
Speed it up, then slow that shit down, on the gang (Slow it down)
Bust it (Bust down), bust down, bust it, bust it
Bust down, on the gang (Over)
Bust down, Thotiana (Bust down, Thotiana)
I wanna see you bust down (Over)
Pick it up, now break that shit down (Break it down)
Speed it up, now slow that shit down, on the gang (Slow it down)
Bust it (Bust down), bust down, bust it, bust it
Bust down, on the gang (Over)

Blueface, baby
Yeah aight, I'm every woman's fantasy (Blueface, baby)
Mama always told me I was gon' break hearts
I guess it's her fault, stupid, don't be mad at me (Don't be mad at me)
I wanna see you bust down (Bust down)
Bend that shit over, on the gang (Yeah aight)
Make that shit clap
She threw it back so I had to double back, on the gang (On the gang)
Smackin', high off them drugs (Off them drugs)
I tried tell myself two times was enough (Was enough)
Then a nigga relapsed, on the dead locs
Ain't no runnin', Thotiana, you gon' take these damn strokes (Thotiana)
I beat the pussy up, now it's a murder scene
Keep shit player, Thotiana, like you ain't never even heard of me (Blueface, baby)
Bust down, Thotiana, I wanna see you bust down (Bust down)
Bend that shit over (Bend it over)
Yeah aight, now make that shit clap, on the gang (Make it clap)
Now toot that thing up (Toot it up)
Throw that shit back (Throw it back)
I need my extras, on the dead locs

Bust down, Thotiana (Bust down, Thotiana)
I wanna see you bust down (Over)
Pick it up, now break that shit down (Break it down)
Speed it up, then slow that shit down, on the gang (Slow it down)
Bust it (Bust down), bust down, bust it, bust it
Bust down, on the gang (Over)
Bust down, Thotiana (Bust down, Thotiana)
I wanna see you bust down (Over)
Pick it up, now break that shit down (Break it down)
Speed it up, now slow that shit down, on the gang (Slow it down)
Bust it (Bust down), bust down, bust it, bust it
Bust down, on the gang (Over)",0.156,0.805,0.04,-0.9958
